a,b,bray_b,bray_f,dist_geo,dist_climate,dist_soil
CCCSF1,HDCSF1,16.73699015,15.26401153,73.55307958,29.76084727,98.09485589
CCCSF1,HDCSF2,11.96288298,29.80096195,73.55307958,29.76084727,97.04836808
CCCSF1,HDCSF4,5.386491515,27.54099215,73.55307958,29.76084727,112.2314102
CCCSF1,HDMEF2,22.70575199,25.46617154,73.55307958,29.76084727,120.9621653
CCCSF1,HDMEF3,22.71152558,23.73841744,73.55307958,29.76084727,117.9292761
CCCSF1,HDMEF5,26.64031348,21.10784015,73.55307958,29.76084727,133.1353808
CCCSF1,HSPCHF1,25.47587486,18.08755843,116.6382244,172.3160203,105.524929
CCCSF1,HSPCHF2,26.37608075,23.78736493,116.6382244,172.3160203,97.49258829
CCCSF1,HSPCHF3,25.32471455,20.23339243,116.6382244,172.3160203,78.21871211
CCCSF1,HSPCSF2,23.6501399,24.20673497,118.7150386,172.3160203,108.1472949
