CCCHF1,CCCHF2,CCCHF5,CCCSF1,CCCSF2,CCCSF5,CCMEF1,CCMEF2,CCMEF5,HDCHF2,HDCHF3,HDCHF5,HDCSF2,HDCSF4,HDCSF5,HDMEF2,HDMEF3,HDMEF5,HSPCHF2,HSPCHF3,HSPCHF5,HSPCSF1,HSPCSF2,HSPCSF4,HSPMEF3,HSPMEF4,HSPMEF5,SSBCHF3,SSBCHF4,SSBCHF5,SSBCSF1,SSBCSF3,SSBCSF4,SSBMEF2,SSBMEF3,SSBMEF4,XGCHF1,XGCHF2,XGCHF5,XGCSF1,XGCSF2,XGCSF4,XGMEF2,XGMEF3,XGMEF5,YSCHF2,YSCHF3,YSCHF5,YSCSF2,YSCSF3,YSCSF5,YSMEF1,YSMEF2,YSMEF4,
HSPCHF5,0.160381879,0.125210725,0.101875677,0.199847391,0.213067627,0.199776409,0.236509148,0.141305698,0.278441254,0.125405923,0.103437262,0.118183593,0.095700318,0.154419463,0.194452824,0.294553972,0.283126009,0.336876475,0.468741682,0.489592391,0,0.48733874,0.492822033,0.424201019,0.493354391,0.478661296,0.468919135,0.327205295,0.336645786,0.41490249,0.417156141,0.437527727,0.426578887,0.394335705,0.27849449,0.303160435,0.306691747,0.407360744,0.431405604,0.48891807,0.430429613,0.426898302,0.389438007,0.424964066,0.428992245,0.326459993,0.278725179,0.223359892,0.448600784,0.435380548,0.238656327,0.261760687,0.260287829,0.265771121
HSPCSF1,0.232268025,0.182297304,0.176157436,0.240288893,0.271804518,0.259986159,0.30848402,0.20014906,0.354923429,0.156335954,0.146398595,0.154863095,0.138395471,0.212286835,0.240093695,0.331819069,0.343211542,0.406668678,0.497134137,0.54634181,0.48733874,0,0.55510798,0.531737441,0.513743723,0.506485901,0.483470268,0.409241744,0.449825209,0.497063155,0.52327294,0.457952549,0.514985892,0.479796994,0.36338793,0.393129026,0.392632158,0.494099693,0.436942133,0.502457722,0.442265718,0.455361738,0.431281387,0.461661314,0.476567352,0.431796,0.324117616,0.269337923,0.495909712,0.526467091,0.273862971,0.270580093,0.262931876,0.272762763
HSPCSF2,0.197061381,0.150267067,0.141678349,0.213049882,0.23759161,0.231309779,0.274945433,0.172519653,0.318616578,0.151101095,0.132805707,0.146096925,0.124749348,0.184888116,0.225755505,0.323283587,0.305218888,0.371639487,0.479726013,0.524160204,0.492822033,0.55510798,0,0.474899296,0.511401345,0.496584033,0.469682182,0.368888968,0.397583092,0.462743776,0.473852324,0.428921264,0.45271769,0.425425443,0.314836832,0.345358721,0.344542438,0.460436889,0.435611236,0.492112221,0.42084716,0.450854435,0.396003762,0.438379501,0.429524604,0.379181233,0.311678172,0.254538356,0.476460881,0.476940003,0.253757564,0.266126027,0.256401611,0.266960055
HSPCSF4,0.226660515,0.179759729,0.174613596,0.204940287,0.212269089,0.195038419,0.251681366,0.187407946,0.364257449,0.159672067,0.166007134,0.164729473,0.153035331,0.219828581,0.235604138,0.297552925,0.333220947,0.393235498,0.530654978,0.502794882,0.424201019,0.531737441,0.474899296,0,0.499884656,0.518392987,0.495306372,0.398523592,0.402072649,0.531489007,0.560963924,0.523681082,0.538604866,0.406526716,0.324508012,0.356076873,0.387663478,0.516263553,0.49358508,0.516511987,0.469398257,0.519652902,0.442159246,0.507071496,0.489414938,0.395081007,0.341916136,0.239685554,0.517842883,0.483026636,0.280517452,0.276116622,0.263552961,0.268432914
HSPMEF3,0.209003957,0.149078132,0.127517612,0.217184533,0.251379696,0.225808741,0.271147942,0.164995652,0.314712615,0.143949745,0.122548933,0.139619896,0.126062499,0.172448672,0.21697159,0.322289851,0.340230334,0.364931769,0.526378365,0.557130942,0.493354391,0.513743723,0.511401345,0.499884656,0,0.547779178,0.527247884,0.360211524,0.399428602,0.484393023,0.493851259,0.480098664,0.503043316,0.42242649,0.309158341,0.336840985,0.339662485,0.461732295,0.469185314,0.512643515,0.457473426,0.472202012,0.423633169,0.478891984,0.463914965,0.357194825,0.299575888,0.238798289,0.481376324,0.503540184,0.263730414,0.27036715,0.260731461,0.271981971
HSPMEF4,0.223892251,0.143435132,0.127304669,0.19920856,0.215693929,0.19074406,0.251681366,0.158465388,0.32748922,0.14329317,0.122655404,0.14268983,0.134775433,0.184125069,0.2272816,0.301811794,0.342359768,0.40274697,0.539438894,0.520735365,0.478661296,0.506485901,0.496584033,0.518392987,0.547779178,0,0.515695704,0.382073714,0.40771565,0.523823044,0.549110074,0.534008837,0.527762497,0.401877451,0.297215765,0.324419286,0.361453694,0.504391958,0.498305325,0.52857878,0.48831473,0.511773996,0.466434795,0.503185279,0.502173797,0.365286675,0.311500719,0.232143808,0.517878374,0.485315777,0.277837915,0.294003868,0.288964208,0.29719802
HSPMEF5,0.190016503,0.125867301,0.105371498,0.178517559,0.19356556,0.16173052,0.222135467,0.139460188,0.312476709,0.118023885,0.105832875,0.120845385,0.110499885,0.164232605,0.197682466,0.258992423,0.299487161,0.378293968,0.513104892,0.483665466,0.468919135,0.483470268,0.469682182,0.495306372,0.527247884,0.515695704,0,0.350274165,0.368409845,0.511915958,0.494738523,0.525863752,0.51920927,0.364399411,0.260979895,0.28568133,0.351054957,0.459425408,0.529253101,0.525047469,0.503646656,0.52857878,0.467783437,0.516139336,0.49358508,0.343247032,0.284155236,0.215995599,0.525615318,0.475626852,0.268574876,0.271538339,0.271041471,0.272762763
SSBCHF3,0.259045659,0.20541941,0.190051994,0.221123986,0.232498713,0.233492449,0.260305574,0.212056146,0.333078984,0.172555143,0.17606871,0.181871418,0.157187727,0.225755505,0.251947545,0.299966284,0.325146842,0.347133249,0.386687488,0.401380583,0.327205295,0.409241744,0.368888968,0.398523592,0.360211524,0.382073714,0.350274165,0,0.355775203,0.434333576,0.433765727,0.353823221,0.405302291,0.39149646,0.311092577,0.33685873,0.344915089,0.407573687,0.360051816,0.395648856,0.351622806,0.35593491,0.35495892,0.366227175,0.390094582,0.386350327,0.318971483,0.248646922,0.399872234,0.411388923,0.256064451,0.245754441,0.229677213,0.263961102
SSBCHF4,0.246038365,0.255283658,0.260642734,0.276702216,0.28662183,0.303497596,0.318137455,0.239845261,0.364381666,0.20135574,0.211754476,0.197522758,0.221478892,0.268024772,0.283392189,0.361329477,0.374052845,0.41245364,0.401025677,0.409756357,0.336645786,0.449825209,0.397583092,0.402072649,0.399428602,0.40771565,0.368409845,0.355775203,0,0.452930634,0.470462974,0.388178092,0.419729207,0.45271769,0.444022501,0.473621635,0.413731301,0.477170692,0.359874363,0.38434511,0.332298192,0.360779373,0.397849272,0.363600873,0.389899384,0.488847089,0.410714603,0.332156229,0.420900396,0.481305343,0.277500754,0.274927688,0.257413092,0.297925576
SSBCHF5,0.251166752,0.175571842,0.162653275,0.203999787,0.214079108,0.188987277,0.264440225,0.182066616,0.411530886,0.150976878,0.172856813,0.166681454,0.15330151,0.229411034,0.265043565,0.304526822,0.333717814,0.465600767,0.551842848,0.502173797,0.41490249,0.497063155,0.462743776,0.531489007,0.484393023,0.523823044,0.511915958,0.434333576,0.452930634,0,0.636558834,0.5672635,0.540148705,0.434936916,0.331464163,0.358241797,0.418416056,0.559384594,0.536049545,0.52703494,0.502528703,0.540858517,0.549145565,0.55883449,0.587830284,0.408744876,0.3674516,0.251361951,0.558160169,0.600482672,0.395240715,0.345642645,0.337355598,0.347186485
SSBCSF1,0.242205384,0.175873512,0.163221124,0.214611467,0.215835892,0.199439249,0.281422462,0.191595833,0.420421273,0.166965379,0.158252444,0.168633436,0.151899633,0.221319184,0.253562366,0.312033077,0.346778344,0.439302255,0.57945451,0.517062091,0.417156141,0.52327294,0.473852324,0.560963924,0.493851259,0.549110074,0.494738523,0.433765727,0.470462974,0.636558834,0,0.573350132,0.56477916,0.434457793,0.341667702,0.385871205,0.433570529,0.594750945,0.51887211,0.542029706,0.506929533,0.530016148,0.559011943,0.558426348,0.596773907,0.423473462,0.371266836,0.249161535,0.564229056,0.555942008,0.34716874,0.330434937,0.318101964,0.332599862
SSBCSF3,0.193086437,0.118591734,0.111617838,0.138076056,0.161624048,0.131581282,0.199634447,0.129824499,0.345269994,0.094174223,0.115557291,0.119195074,0.123879829,0.140684613,0.183344276,0.237059252,0.272372367,0.366901496,0.52730112,0.46615087,0.437527727,0.457952549,0.428921264,0.523681082,0.480098664,0.534008837,0.525863752,0.353823221,0.388178092,0.5672635,0.573350132,0,0.551239508,0.353805476,0.239650063,0.280091566,0.344595674,0.477951484,0.552002555,0.51638777,0.498127873,0.555356414,0.507674835,0.5766685,0.547229074,0.320568559,0.300090501,0.189626107,0.540805281,0.468120597,0.300977765,0.323620748,0.321154153,0.315759587
SSBCSF4,0.215214807,0.15296435,0.15108335,0.173335936,0.18792256,0.160843256,0.240537327,0.162883964,0.352084184,0.163363086,0.147764981,0.176849502,0.154366227,0.205366174,0.240661544,0.289248132,0.328891097,0.417262612,0.535783366,0.507994251,0.426578887,0.514985892,0.45271769,0.538604866,0.503043316,0.527762497,0.51920927,0.405302291,0.419729207,0.540148705,0.56477916,0.551239508,0,0.418770962,0.317356662,0.337479815,0.353450571,0.502919099,0.519706138,0.526733271,0.51672493,0.540823026,0.481500541,0.549606942,0.515642468,0.394335705,0.351374372,0.249622913,0.562241584,0.496495306,0.289798236,0.294358774,0.289319113,0.296399482
SSBMEF2,0.319166681,0.310861888,0.278246056,0.341117598,0.350912995,0.346725108,0.381718808,0.273295122,0.371036147,0.311944351,0.297783614,0.337107164,0.226305609,0.384664525,0.450180115,0.515127855,0.479726013,0.464660267,0.403279329,0.448529803,0.394335705,0.479796994,0.425425443,0.406526716,0.42242649,0.401877451,0.364399411,0.39149646,0.45271769,0.434936916,0.434457793,0.353805476,0.418770962,0,0.626177843,0.632637127,0.38619062,0.502564194,0.344844108,0.394122762,0.329281493,0.351321136,0.337142654,0.342909872,0.378613383,0.580678935,0.471651909,0.440473444,0.397796036,0.499707203,0.25602896,0.253739819,0.239933988,0.281866094
SSBMEF3,0.380547619,0.45956737,0.435114368,0.44549536,0.437616453,0.481695739,0.456710379,0.407342999,0.357869146,0.423615424,0.455343992,0.426312707,0.279985094,0.427998509,0.47642539,0.474721843,0.436658208,0.430500594,0.279239792,0.339626994,0.27849449,0.36338793,0.314836832,0.324508012,0.309158341,0.297215765,0.260979895,0.311092577,0.444022501,0.331464163,0.341667702,0.239650063,0.317356662,0.626177843,0,0.716909481,0.346086278,0.398062215,0.228168864,0.288094689,0.231753412,0.239224176,0.242702252,0.23228577,0.274803471,0.670008695,0.612389757,0.506556883,0.301172963,0.403368055,0.222295175,0.184941352,0.17482654,0.224087449
SSBMEF4,0.326158323,0.409543414,0.421982858,0.353911948,0.361755364,0.47236172,0.387663478,0.307170869,0.385746988,0.32063954,0.375046581,0.341064362,0.361311731,0.386013167,0.467180097,0.497418061,0.453480737,0.449079907,0.319734531,0.372952638,0.303160435,0.393129026,0.345358721,0.356076873,0.336840985,0.324419286,0.28568133,0.33685873,0.473621635,0.358241797,0.385871205,0.280091566,0.337479815,0.632637127,0.716909481,0,0.386297092,0.438113321,0.25941831,0.313541426,0.254609338,0.273703263,0.284545632,0.271414122,0.317729313,0.564725924,0.576047415,0.516760421,0.329334729,0.437971359,0.225666779,0.214114599,0.201976825,0.245257573
XGCHF1,0.289425585,0.249392224,0.2282221,0.30784519,0.31096836,0.29441201,0.330488173,0.272265895,0.432133161,0.161677284,0.151349529,0.151331784,0.128759782,0.218976807,0.241193903,0.252195979,0.294944369,0.320515323,0.376892091,0.373165581,0.306691747,0.392632158,0.344542438,0.387663478,0.339662485,0.361453694,0.351054957,0.344915089,0.413731301,0.418416056,0.433570529,0.344595674,0.353450571,0.38619062,0.346086278,0.386297092,0,0.415967207,0.346441183,0.367007968,0.337284617,0.330718861,0.35499441,0.348872287,0.378027789,0.389402516,0.294447501,0.224992458,0.343353504,0.397618583,0.248930847,0.251131262,0.235355704,0.240927723
XGCHF2,0.242719997,0.199031107,0.191826522,0.228488279,0.229286817,0.216385995,0.291750217,0.190087484,0.376803365,0.214771175,0.191595833,0.21572942,0.178801484,0.264937093,0.302077973,0.354320089,0.409188508,0.470001597,0.52199528,0.481748975,0.407360744,0.494099693,0.460436889,0.516263553,0.461732295,0.504391958,0.459425408,0.407573687,0.477170692,0.559384594,0.594750945,0.477951484,0.502919099,0.502564194,0.398062215,0.438113321,0.415967207,0,0.456799106,0.509999468,0.424786613,0.463719766,0.483239579,0.474420173,0.52135645,0.465441059,0.394140507,0.303763775,0.5142051,0.567387717,0.327631182,0.296647916,0.286675066,0.325501748
XGCHF5,0.173566625,0.117438291,0.109293205,0.143026991,0.15924618,0.129576065,0.191311909,0.125689848,0.335474598,0.095806789,0.110712828,0.117172112,0.102603233,0.134970632,0.164339077,0.237999752,0.258495555,0.349741806,0.537167498,0.469859635,0.431405604,0.436942133,0.435611236,0.49358508,0.469185314,0.498305325,0.529253101,0.360051816,0.359874363,0.536049545,0.51887211,0.552002555,0.519706138,0.344844108,0.228168864,0.25941831,0.346441183,0.456799106,0,0.54728231,0.520540166,0.534168545,0.472503682,0.554415914,0.493194684,0.306106152,0.284811811,0.174737813,0.535357479,0.460969247,0.289248132,0.308040388,0.302557095,0.304242897
