,Brix,pH,Tartaric.acid,Malic.acid,Ca.g.kg.DW,K.g.kg.DW,Mg.g.kg.DW,P.g.kg.DW,S.g.kg,AC,cis_2_2_Pentenyl_furan,beta_Cyclocitral,4_Propyl_Benzaldehyde,Eucalyptol,trans_2_Pentenal,Hexanal,cis_3_Hexenal,trans_2_Hexenal,Heptanal,1_Octen_3_ol,Benzaldehyde,trans_2_Octenal,Limonene,Linalool,alpha_Terpineol,gamma_Terpinene,Hotrienol,cis_2_Penten_1_ol,Nerol_oxide,beta_Ionone,p_Cymene,Isoterpinolene,Z_beta_Damascenone,E_beta_Damascenone,TDN,alpha_Ionene,Terpinen_4_ol,gamma_Terpineol
SSBCSF4,25.3,3.49,5.940196743,1.0042,0.443134122,10.62250729,0.43344859,0.752962327,0.457067988,1.10335444,1.666132898,0.054762923,4.402132225,0.50445703,3.01281498,1094.693409,643.1299749,1794.975247,0.993026233,2.404714137,3.9540634,1.248079791,0.039300971,0.050058435,0.756959034,0.013402224,0.236685533,1.823568244,0.045013556,0.001412047,0.010659669,0.010284009,1.18154125,11.370281,0.047184096,0.179313361,0.044452642,0.082626146
SSBMEF2,23.1,3.51,6.454188034,0.0016,0.71,12.67,0.49,1.21,0.5,1.214488318,1.066762829,0.045164974,0.902435632,0.409359975,3.610622533,887.7832384,1041.87303,1994.336912,0.957316491,1.557530838,2.548124631,0.778110906,0.032577556,0.08501678,0.885970519,0.012746159,0.143085781,2.28366864,0.027265003,0.001350351,0.011131716,0.016814716,1.620296448,15.51941918,0.106554267,1.88821558,0.036005435,0.044123164
SSBMEF4,23.2,3.5,6.255813471,0.0974,0.49,12.18,0.42,1.04,0.45,1.160428678,1.22352275,0.04678817,0.819887631,0.419513099,3.4083159,1042.862472,1077.834991,2230.540312,1.064739811,1.303575404,2.208725446,0.681641142,0.026820661,0.060902507,0.574323672,0.007592835,0.121866826,1.812613476,0.014898786,0.001534416,0.014492294,0.009746478,2.716066793,25.13668117,0.141529217,2.520485892,0.031746343,0.024305272
SSBMEF5,23.2,3.5,7.094254861,1.3027,0.53,12.26,0.43,1.1,0.47,1.089634091,1.14514279,0.045976572,0.861161632,0.414436537,3.509469216,965.3228557,1059.854011,2112.438612,1.011028151,1.430553121,2.378425039,0.729876024,0.029699109,0.072959644,0.730147095,0.010169497,0.100647871,2.754723802,0.021081894,0.001442383,0.012812005,0.013280597,2.168181621,20.32805018,0.124041742,2.204350736,0.02748725,0.034214218
XGCHF1,23.2,3.38,6.864811455,4.0841,0.37,11.86,0.38,0.84,0.35,0,2.045795128,0.111828955,1.447128676,0.300342955,1.981172515,821.2024516,418.5560597,2211.385008,0.548266593,1.62198236,8.315453403,1.178767477,0.211214624,7.900106417,23.20239051,0.014140828,1.204389939,11.85769322,0.280641943,0.003627896,0.015546665,0.313536067,1.226711545,9.648796487,0.13029567,0.863213617,0.092403647,17.60998247
XGCHF3,23.1,3.44,6.811237997,3.7369,0.35,11.16,0.41,0.79,0.32,0,2.704604487,0.101222426,1.473788637,0.294246777,2.089181854,848.4388316,415.3838705,2003.857738,0.564060547,1.347966741,6.128095084,0.817295798,0.226236865,6.964533754,22.24995798,0.018346499,1.075055135,11.36816927,0.296525392,0.003447818,0.015281869,0.37651731,1.180492453,10.41000144,0.164313047,0.832020765,0.0765491,17.14165677
XGCHF4,23.4,3.32,6.869949614,4.3034,0.41,12.78,0.42,0.88,0.37,0,2.375199808,0.118793514,1.420468715,0.35839371,2.314911094,844.2075974,426.4213213,2065.21547,0.528341682,1.595892808,7.138389445,0.902886486,0.274532392,6.214739219,27.42646398,0.024876122,1.257298943,12.34721716,0.381846815,0.003807973,0.019442666,0.466062471,1.272930637,12.34068247,0.147304358,0.764648308,0.108258194,17.37581962
XGCSF1,28.3,3.7,8.376946054,1.0466,0.543862518,12.08132896,0.472149517,0.783467802,0.428656764,1.047250789,0.660273884,0.037543248,1.533775288,0.556946697,1.939318405,851.223436,389.3433316,1607.962701,0.697606829,2.432176408,4.826846566,1.085993542,0.023437068,0.052044538,0.936230447,0.049185312,0.220632566,1.58538649,0.065226223,0.000989101,0.021503495,0.031986076,0.639154412,6.261116865,0.025268994,0.090966856,0.141894803,0.258145191
XGCSF2,27.8,3.48,9.236733711,0.885,0.546331459,11.50003174,0.457952738,0.744940618,0.454907165,1.008,1.045183599,0.045777052,1.130448619,0.508169811,2.281052261,663.6057762,346.0828543,1485.696966,0.720678601,3.470552077,6.607379949,1.432121714,0.032337155,0.05470129,0.860151924,0.044198075,0.22415508,1.675773978,0.058095506,0.000800665,0.019046738,0.030204469,0.751224965,7.402978159,0.042811872,0.118713083,0.13119711,0.244624488
XGCSF3,28.3,3.53,9.800902666,0.1756,0.579697743,11.65572166,0.461322747,0.831785471,0.473277217,1.10354087,0.879784148,0.045752114,0.891397139,0.471867539,1.969201446,635.9924089,290.1013759,1348.614299,0.623008444,3.610962737,6.504313747,1.19490111,0.032545087,0.062798534,1.012308969,0.05417255,0.217110051,2.138638097,0.07235694,0.000681843,0.023960252,0.033767682,0.689580079,7.057497023,0.045886443,0.108262392,0.152592497,0.271665894
XGMEF1,27.4,3.84,7.791630416,0.3458,0.47792433,13.09801505,0.508405398,0.716989669,0.366696612,1.083675337,0.424001795,0.027785244,1.892713679,0.617975998,3.906053209,707.6059701,621.3040911,1584.70735,0.911727888,4.122845526,3.337520669,1.064339993,0.034788507,0.071951468,0.746621306,0.009276723,0.303951643,17.00665021,0.101401794,0.000452001,0.01305119,0.010354512,0.255395858,2.150616165,0.013207214,0.111749959,0.038450366,0.523349736
