,Kingdom,Phylum,Class,Order,Family
OTU19520,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1955,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1956,k__Bacteria,p__Chloroflexi,c__Gitt-GS-136,o__,f__
OTU19565,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__
OTU196,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1965,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b
OTU1969,k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae
OTU197,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
OTU19717,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1972,k__Bacteria,p__Acidobacteria,c__Subgroup_25,o__,f__
OTU19795,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU198,k__Bacteria,p__Acidobacteria,c__Subgroup_17,o__,f__
OTU19800,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU1981,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__
OTU1987,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae
OTU1988,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
OTU1989,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__BIrii41
OTU199,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae
OTU1990,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae
OTU19903,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU1991,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1993,k__Bacteria,p__Chloroflexi,c__OLB14,o__,f__
OTU1994,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU1997,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae
OTU19971,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU19974,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU20,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae
OTU200,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU20001,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU20038,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae
OTU2008,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU201,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU20109,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__
OTU2016,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__
OTU20177,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__
OTU2019,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae
OTU202,k__Bacteria,p__Gemmatimonadetes,c__AKAU4049,o__,f__
OTU20203,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae
OTU2021,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Gemmatales,f__Gemmataceae
OTU2026,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU203,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU204,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__
OTU2041,k__Bacteria,p__Planctomycetes,c__OM190,o__,f__
OTU2045,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae
OTU20488,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae
OTU205,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__
OTU20519,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU2058,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU20582,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae
OTU2059,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae
OTU206,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae
OTU20669,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
OTU2069,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU207,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__
OTU2071,k__Bacteria,p__Planctomycetes,c__OM190,o__,f__
OTU2075,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__R7C24,f__
OTU2077,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae
OTU2078,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__mle1-27
OTU208,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU2082,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__Tepidisphaerales,f__
OTU20883,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae
OTU209,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae
OTU21,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
OTU210,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU211,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU2111,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Isosphaerales,f__Isosphaeraceae
OTU2112,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae
