,Kingdom,Phylum,Class,Order,Family
OTU58,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
OTU580,k__Bacteria,p__Gemmatimonadetes,c__AKAU4049,o__,f__
OTU5800,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae
OTU581,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Sandaracinaceae
OTU582,k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae
OTU583,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__
OTU584,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU585,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae
OTU5855,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae
OTU586,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Phormidiaceae
OTU5860,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU587,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae
OTU588,k__Bacteria,p__Chloroflexi,c__Gitt-GS-136,o__,f__
OTU589,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b
OTU5893,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae
OTU59,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae
OTU590,k__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae
OTU591,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae
OTU592,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae
OTU593,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__
OTU5933,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae
OTU594,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__C0119,f__
OTU5940,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
OTU595,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae
OTU5952,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU596,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__67-14
OTU597,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b
OTU598,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae
OTU599,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU6,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae
OTU60,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU600,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Synechococcales,f__Cyanobiaceae
OTU601,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__Pyrinomonadales,f__Pyrinomonadaceae
OTU6019,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU602,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Chthoniobacterales,f__Terrimicrobiaceae
OTU603,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU604,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU6048,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__
OTU605,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae
OTU606,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family_XI
OTU607,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae
OTU608,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__
OTU609,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__
OTU6092,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU61,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae
OTU610,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU611,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae
OTU612,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae
OTU613,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae
OTU614,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae
OTU615,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__,f__
OTU616,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__C0119,f__
OTU6163,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae
OTU617,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__
OTU618,k__Bacteria,p__Epsilonbacteraeota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae
OTU619,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae
OTU62,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae
OTU620,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU6201,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__,f__
OTU621,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__67-14
OTU6219,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU622,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__,f__
OTU623,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__JG30-KF-AS9
OTU624,k__Bacteria,p__WPS-2,c__,o__,f__
OTU6247,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae
OTU625,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae
OTU6256,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__
OTU626,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU627,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae
OTU6273,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU628,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae
OTU629,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae
OTU63,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae
OTU630,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU631,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae
OTU632,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfarculales,f__Desulfarculaceae
OTU633,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae
OTU634,k__Bacteria,p__Gemmatimonadetes,c__BD2-11_terrestrial_group,o__,f__
OTU635,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae
OTU636,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
OTU637,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__Nitrospiraceae
OTU638,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU639,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae
OTU64,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae
OTU640,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__,f__
OTU6401,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae
OTU641,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU6410,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
OTU642,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SC-I-84
OTU6428,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU643,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__
OTU644,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae
OTU6444,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__
OTU645,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae
OTU646,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae
OTU647,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU648,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__D05-2
OTU649,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU6490,k__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__S085,f__
OTU6496,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
OTU65,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Geodermatophilaceae
OTU650,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU6502,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU651,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__C0119,f__
OTU6514,k__Bacteria,p__Acidobacteria,c__Holophagae,o__Subgroup_7,f__
OTU652,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__NB1-j,f__
OTU653,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__
OTU654,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU655,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__
OTU656,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae
OTU657,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__Blastocatellales,f__Blastocatellaceae
OTU658,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU6588,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Amb-16S-1323
OTU659,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae
OTU66,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Methylophilaceae
OTU660,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
OTU661,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b
OTU662,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU663,k__Bacteria,p__Gemmatimonadetes,c__AKAU4049,o__,f__
OTU6633,k__Bacteria,p__Gemmatimonadetes,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae
OTU664,k__Bacteria,p__Rokubacteria,c__NC10,o__Rokubacteriales,f__
OTU665,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU666,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae
OTU667,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__
OTU668,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU6680,k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae
OTU669,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU67,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__
OTU670,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__
OTU671,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU6718,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU672,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU673,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae
OTU674,k__Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae
OTU675,k__Bacteria,p__Bacteroidetes,c__Rhodothermia,o__Rhodothermales,f__Rhodothermaceae
OTU6750,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae
OTU676,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae
OTU677,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__,f__
OTU6772,k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45
OTU678,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__TRA3-20
OTU679,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae
OTU68,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__
OTU680,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__
OTU681,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU682,k__Bacteria,p__GAL15,c__,o__,f__
OTU683,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU684,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU685,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Sandaracinaceae
OTU686,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae
OTU687,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU688,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU689,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae
OTU69,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae
OTU690,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU691,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae
OTU692,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae
OTU6920,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU693,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU6930,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
OTU6935,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU694,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU695,k__Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Thermales,f__Thermaceae
OTU6957,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae
OTU696,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU697,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__Nitrospiraceae
OTU698,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodovibrionales,f__Kiloniellaceae
OTU6987,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae
OTU699,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__,f__
OTU7,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
OTU70,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae
OTU700,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
OTU701,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU7014,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae
OTU702,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU703,k__Bacteria,p__Acidobacteria,c__Subgroup_25,o__,f__
OTU7034,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__KI89A_clade,f__
OTU704,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU705,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__C0119,f__
OTU706,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae
OTU7062,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU707,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae
OTU708,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
OTU709,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU71,k__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae
OTU710,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae
OTU711,k__Bacteria,p__Bacteroidetes,c__Ignavibacteria,o__SJA-28,f__
OTU712,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU713,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae
OTU714,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__
OTU715,k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45
OTU716,k__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae
OTU717,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Sandaracinaceae
OTU718,k__Bacteria,p__Chloroflexi,c__OLB14,o__,f__
OTU719,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae
OTU72,k__Bacteria,p__Chloroflexi,c__KD4-96,o__,f__
OTU720,k__Bacteria,p__Fibrobacteres,c__Fibrobacteria,o__Fibrobacterales,f__Fibrobacteraceae
OTU721,k__Bacteria,p__,c__,o__,f__
OTU722,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU723,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__
OTU724,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__
OTU725,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__,f__
OTU726,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
OTU7264,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU727,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae
OTU728,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae
OTU729,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU73,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
OTU730,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__
OTU731,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae
OTU732,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU733,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__
OTU734,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU735,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Thalassobaculales,f__
OTU7350,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae
OTU736,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
OTU737,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__
OTU738,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__,f__
OTU739,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__
OTU74,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultivated_soil_bacterium_clone_C112,f__
OTU740,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU7400,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU741,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae
OTU742,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__,f__
OTU743,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__
OTU744,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Salinisphaerales,f__Solimonadaceae
OTU745,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
OTU746,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU747,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae
OTU748,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU749,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__,f__
OTU75,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae
OTU750,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae
OTU751,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__
OTU752,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU753,k__Bacteria,p__Chloroflexi,c__TK10,o__,f__
OTU754,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
OTU755,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__NB1-j,f__
OTU756,k__Bacteria,p__Latescibacteria,c__,o__,f__
OTU757,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU758,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family_XI
OTU7584,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU759,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__,f__
OTU7594,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__
OTU76,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae
OTU760,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__
OTU761,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU762,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__Pyrinomonadales,f__Pyrinomonadaceae
OTU763,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__,f__
OTU7630,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae
OTU764,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae
OTU765,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU7651,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae
OTU766,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae
OTU767,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU768,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU769,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Ardenticatenales,f__
OTU77,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae
OTU770,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Sanguibacteraceae
OTU771,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU772,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae
OTU773,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Sandaracinaceae
OTU774,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__IMCC26256,f__
OTU775,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU7750,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU776,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae
